"","CO2","year","pais","avgAA","no.emig","exports","imports","pop","remit","aid","inflation","unempl","GDP","avgPop","propEmig"
"43","BRA",2007,"brazil",2.71797235023041,344929,25335516490,18890854514,NA,NA,3850000,3.63702793370313,10.8590002059937,6.06987284607507,127752.25,0.00269998375762462
"44","BRA",2008,"brazil",2.65806451612903,334534,27734718957,25850906215,NA,NA,12330000,5.66309851932568,9.57299995422363,5.09434227022558,127752.25,0.00261861532771438
"45","BRA",2009,"brazil",2.87837837837838,356531,15744930250,20218083304,NA,NA,8140000,4.88640844429618,9.72999954223633,-0.125873061539252,127752.25,0.00279080016203237
"46","BRA",2010,"brazil",2.88055555555556,344714,19466060470,27276788977,145288,NA,20710000,5.03831694621168,8.48799991607666,7.52822356216525,127752.25,0.00269830081270584
"47","BRA",2011,"brazil",2.8783542039356,334121,25942952810,34241471267,NA,NA,29790000,6.63619865692984,7.78000020980835,3.97442540629392,127752.25,0.00261538250794017
"48","CHL",1995,"chile",3.69009314140559,31021,2138306048,3792839680,10124,NA,-4.9e+07,8.23263354574703,4.69999980926514,10.6275772210103,11704.25,0.00265040476749899
"49","CHL",1996,"chile",3.31520644511581,50191,2372537856,4109481216,NA,NA,-3e+06,7.3591146630276,6.32600021362305,7.41349152299138,11704.25,0.00428827135442254
"50","CHL",1997,"chile",3.56911344137274,90985,2439108864,4332188160,NA,NA,-3e+06,6.1338665153681,6.11800003051758,6.60557963279054,11704.25,0.00777367195676784
"51","CHL",1998,"chile",3.50827205882353,73691,2359673344,4025437952,NA,NA,-4640000,5.11024413312059,6.33699989318848,3.23087870862024,11704.25,0.00629608902749001
"52","CHL",2000,"chile",2.88172043010753,67337,3007750125,3273164884,11134,NA,-19050000,3.84327347283558,9.16199970245361,4.49579299699077,11704.25,0.00575320930431254
"53","CHL",2001,"chile",2.93767441860465,87187,3483646378,2976102392,NA,NA,-18120000,3.5691011338364,9.12800025939941,3.34818039063991,11704.25,0.00744917444518017
"54","CHL",2002,"chile",2.80213903743316,80852,3483302946,2548801473,NA,NA,-18440000,2.48939833123417,8.94400024414063,2.16690863388931,11704.25,0.00690791806395113
"55","CHL",2003,"chile",2.56725663716814,85669,3798900166,2764541025,NA,NA,-3020000,2.81017725948146,8.49699974060059,3.95674848137746,11704.25,0.007319477967405
"56","CHL",2004,"chile",2.70340501792115,84060,5019530397,3569886661,NA,NA,-1740000,1.05473933228722,8.8100004196167,6.04108673918763,11704.25,0.00718200653608732
"57","CHL",2005,"chile",2.60233393177738,92285,6715946089,5132565472,12240,NA,-120000,3.05257394340738,8.00399971008301,5.55945253083594,11704.25,0.00788474272166093
"58","CHL",2006,"chile",2.82506762849414,84369,9417622444,6176735603,NA,NA,-310000,3.39201899113599,7.68900012969971,4.40497269031522,11704.25,0.00720840720251191
"59","CHL",2007,"chile",2.63696682464455,88271,8678761919,7865466577,NA,NA,-1060000,4.40779790450222,7.13600015640259,5.16082559987021,11704.25,0.00754179037529103
"60","CHL",2008,"chile",2.61383285302594,91380,8052628928,11948859998,NA,NA,950000,8.71626854777147,7.7960000038147,3.29245489729399,11704.25,0.00780742038148536
"61","CHL",2009,"chile",2.97927927927928,84510,6225528058,8002008534,NA,NA,1840000,0.071761556116928,9.68900012969971,-1.0364317789294,11704.25,0.00722045410855031
"62","CHL",2010,"chile",2.94787985865724,90903,6920953909,10010606322,13319,NA,13110000,1.40996475088125,8.14200019836426,5.75370890864373,11704.25,0.00776666595467458
"63","CHL",2011,"chile",2.79197080291971,99430,9027166908,15106704419,NA,NA,3700000,3.340318008135,7.11899995803833,5.83964058346005,11704.25,0.00849520473332336
"64","COL",1996,"colombia",2.82154882154882,393367,4282930432,4854260224,NA,NA,1.7e+07,20.7980080710901,11.8100004196167,2.05585471214225,31544.3333333333,0.0124702904906322
"65","COL",1997,"colombia",3.41347905282332,381442,4379280896,5429896192,NA,NA,2.3e+07,18.4681275963536,12.1000003814697,3.43029367829288,31544.3333333333,0.0120922511174749
"66","COL",1998,"colombia",3.50706880301602,414887,4139680512,4721463296,NA,NA,47990000,18.6762015631768,15,0.569784089852092,31544.3333333333,0.0131525049401372
"67","COL",2000,"colombia",2.9698397737983,468192,6632131633,3902644244,28315,NA,105140000,9.22113343211148,20.5,4.41999299958138,31544.3333333333,0.0148423488635043
"68","COL",2001,"colombia",3.12944664031621,511901,5344533010,4442775378,NA,NA,274740000,7.96846804945689,15.039999961853,1.67789830770366,31544.3333333333,0.0162279860091089
"69","COL",2002,"colombia",3.17946345975948,561861,5328470375,4051198178,NA,NA,306260000,6.35012534911106,15.6330003738403,2.5039804654986,31544.3333333333,0.0178117886995023
"70","COL",2003,"colombia",2.83879781420765,529597,6160245384,4112709862,NA,NA,670850000,7.13118626852946,14.1890001296997,3.9182719036083,31544.3333333333,0.0167889742478839
"71","COL",2004,"colombia",2.84363957597173,499329,7042200950,4806760396,NA,NA,375560000,5.90467817271748,13.7170000076294,5.33302206745392,31544.3333333333,0.0158294358204855
"72","COL",2005,"colombia",2.84512085944494,554821,8851631432,6033241192,31465,NA,448940000,5.04811615294235,11.8699998855591,4.70655593383118,31544.3333333333,0.017588610738326
"73","COL",2006,"colombia",2.8382099827883,589118,9948229958,6960605270,NA,NA,719750000,4.29633343543375,11.6999998092651,6.69751525770528,31544.3333333333,0.018675874166517
"74","COL",2007,"colombia",2.83710801393728,603653,10609166832,8631114694,NA,NA,403500000,5.54375393515081,11.2040004730225,6.90062765541222,31544.3333333333,0.0191366542326673
"75","COL",2008,"colombia",2.85843920145191,603335,14288832815,11583018734,NA,NA,636090000,6.99699076613379,11.2729997634888,3.54680488578107,31544.3333333333,0.0191265731827164
"76","COL",2009,"colombia",3.01275045537341,617738,13123465721,9505791177,NA,NA,652340000,4.20293310803377,12.0659999847412,1.65154924529054,31544.3333333333,0.0195831686620946
"77","COL",2010,"colombia",3.00352733686067,648348,17143276691,10531812711,34853,NA,197600000,2.27822015828349,11.831000328064,3.97180070473753,31544.3333333333,0.0205535489734025
"78","COL",2011,"colombia",2.96507666098807,655096,21948534649,13663337645,NA,NA,495740000,3.41161612124441,10.8760004043579,6.58951151557115,31544.3333333333,0.0207674701214164
"79","CRI",1996,"costa rica",3.73806275579809,70023,1026635712,1651111808,NA,NA,-4.4e+07,17.5224945702762,6.16200017929077,1.23781629288095,3080.66666666667,0.022729820385198
"80","CRI",1997,"costa rica",4.00459242250287,60491,1894256640,2135442176,NA,NA,-3.2e+07,13.2314698699759,5.68100023269653,5.5649453335419,3080.66666666667,0.0196356849166847
"81","CRI",1998,"costa rica",4.16928251121076,74136,2101296000,3484021760,NA,NA,-25510000,11.6660934849642,5.3270001411438,6.96170008957814,3080.66666666667,0.0240649210127678
"82","CRI",2000,"costa rica",3.31362467866324,68960,2854425856,3095549696,2679,NA,-30560000,10.9925242865816,5.08199977874756,3.73453301020578,3080.66666666667,0.0223847652023372
"83","CRI",2001,"costa rica",3.23139534883721,72785,2342480128,3280160512,NA,NA,-29630000,11.226975511774,5.91499996185303,3.49046943167397,3080.66666666667,0.0236263795715213
"84","CRI",2002,"costa rica",3.15268817204301,62098,2509801728,3590102784,NA,NA,-23730000,9.16481579214049,6.33400011062622,3.29175319678092,3080.66666666667,0.020157325254274
"85","CRI",2003,"costa rica",2.91471215351812,71097,2733184556,3679593697,NA,NA,-21020000,9.44756481007714,6.55800008773804,4.25547625421324,3080.66666666667,0.0230784462237611
"86","CRI",2004,"costa rica",3.00754310344828,85515,2645959966,3596379754,NA,NA,-15050000,12.3150309270856,6.39099979400635,4.33657511051531,3080.66666666667,0.0277586020341917
"87","CRI",2005,"costa rica",2.97276688453159,95761,3060340638,3767192674,3100,NA,-12010000,13.7979752796936,6.57100009918213,3.8708730663126,3080.66666666667,0.0310845055182861
"88","CRI",2006,"costa rica",3.02792696025779,85370,3080218846,4385917125,NA,NA,-9600000,11.4705307105426,5.73999977111816,7.2377328058582,3080.66666666667,0.0277115342999351
"89","CRI",2007,"costa rica",2.76813186813187,87220,3269650163,4902825438,NA,NA,-2890000,9.35733138692841,4.48999977111816,8.16789611559992,3080.66666666667,0.0283120536680372
"90","CRI",2008,"costa rica",2.84971751412429,81181,3725071240,5846371649,NA,NA,-120000,13.4233563461578,4.7810001373291,4.64959868713939,3080.66666666667,0.0263517636875135
"91","CRI",2009,"costa rica",3.11354166666667,89232,3225996992,5305096986,NA,NA,-550000,7.84382584074434,7.71299982070923,-0.970548585385416,3080.66666666667,0.0289651590564813
"92","CRI",2010,"costa rica",3.04651162790698,75838,3384678655,6511661094,3463,NA,-390000,5.6602306512419,8.91699981689453,4.95186387594634,3080.66666666667,0.0246173988314218
"93","CRI",2011,"costa rica",3.05370569280344,76193,3911308226,8321502770,NA,NA,5370000,4.88301248136875,10.3090000152588,4.30710169954615,3080.66666666667,0.0247326336290846
"94","DOM",2004,"dominican rep.",3.12606837606838,716486,4027656709,2568126401,NA,NA,-4100000,51.4608598338066,18.3999996185303,1.31195821990448,6611.5,0.108369658927626
"95","DOM",2005,"dominican rep.",3.12823397075366,708455,4346860839,3728326721,6298,NA,18920000,4.19020260472054,18,9.26275007449469,6611.5,0.107154957271421
"96","DOM",2006,"dominican rep.",3.3971340839304,764930,4051647092,4501780034,NA,NA,30260000,7.57280523853077,16.3999996185303,10.6711548406755,6611.5,0.115696891779475
"97","DOM",2007,"dominican rep.",3.18144750254842,747885,3095994288,5374823659,NA,NA,4520000,6.14356655248047,15.6999998092651,8.71041411849795,6611.5,0.113118808137336
"98","DOM",2008,"dominican rep.",3.15676229508197,779249,3141094117,5696881758,NA,NA,24780000,10.6446210953712,14.1999998092651,3.20950426157955,6611.5,0.1178626635408
"99","DOM",2009,"dominican rep.",3.25278058645096,791593,2683750009,5090590392,NA,NA,14120000,1.44215131834341,14.8999996185303,0.946155167790636,6611.5,0.119729713378205
"100","DOM",2010,"dominican rep.",3.36649746192893,879884,2750742749,5907252802,6925,NA,35420000,6.32993220146146,12.3999996185303,8.3170677276553,6611.5,0.133083869016108
"101","DOM",2011,"dominican rep.",3.30957446808511,878858,3330862767,7555163063,NA,NA,27790000,8.46016880960163,14.6999998092651,3.10191731092932,6611.5,0.132928684867277
"102","ECU",1996,"ecuador",3.59354838709677,232671,1851442304,1174020480,NA,NA,1.2e+07,24.3730886850156,10.3800001144409,1.73174751447954,8967.66666666667,0.0259455451064937
"103","ECU",1998,"ecuador",3.68548387096774,265407,1637215232,1680187264,NA,NA,4410000,36.0984331623775,11.4899997711182,3.26652940374666,8967.66666666667,0.0295959930119318
"104","ECU",2000,"ecuador",3.10412926391382,260021,1828213420,883563541,8066,NA,47060000,96.0941136930837,9,1.0918015643576,8967.66666666667,0.0289953908486042
"105","ECU",2001,"ecuador",3.17415730337079,274268,1781233162,1326442066,NA,NA,55200000,37.6780209421415,10.710000038147,4.01562989958492,8967.66666666667,0.0305840984276846
"106","ECU",2002,"ecuador",3.24317406143345,296796,2052005287,1480871938,NA,NA,65030000,12.4840185721018,9.06999969482422,4.09677665885357,8967.66666666667,0.0330962346206743
"107","ECU",2003,"ecuador",2.81857638888889,376392,2451554065,1227569542,NA,NA,72590000,7.92941000523412,11.4399995803833,2.72287733695474,8967.66666666667,0.0419721220681708
"108","ECU",2004,"ecuador",3.02821869488536,326931,3264954001,1323167075,NA,NA,74480000,2.74218132941648,8.55000019073486,8.21102091734038,8967.66666666667,0.0364566405233617
"109","ECU",2005,"ecuador",2.86077140169332,345204,4941481388,1842724585,8944,NA,71330000,2.40776978315681,7.73999977111816,5.29130826699402,8967.66666666667,0.038494294316619
"110","ECU",2006,"ecuador",2.68334849863512,374086,6824752531,2738812104,NA,NA,70140000,3.03487429304916,7.69000005722046,4.40352643383186,8967.66666666667,0.0417149760249786
"111","ECU",2007,"ecuador",2.84879406307978,402294,5977818855,2794781549,NA,NA,42660000,2.2763012348689,6.09999990463257,2.19006397224541,8967.66666666667,0.0448604988291269
"112","ECU",2008,"ecuador",2.80618556701031,407371,8435396046,3748243609,NA,NA,46360000,8.40082543392804,7.30000019073486,6.3571305999083,8967.66666666667,0.0454266438687135
"113","ECU",2009,"ecuador",2.93045112781955,418907,4625857266,3962364517,NA,NA,52070000,5.15792399974339,6.46999979019165,0.566491592100093,8967.66666666667,0.0467130431550385
"114","ECU",2010,"ecuador",3.07522935779817,454921,6077495979,5736443463,9893,NA,23140000,3.55612380577122,5.01999998092651,3.52529866894027,8967.66666666667,0.0507290265026205
"115","ECU",2011,"ecuador",3.0363475177305,429316,9725734976,5138353016,NA,NA,31080000,4.47455385852787,4.21000003814697,7.86814091910996,8967.66666666667,0.0478737687246776
"116","ESP",1996,"spain",2.92372461614661,72666,4239523072,7609022464,NA,NA,0,3.55850658113472,22.1420001983643,2.67463906729668,37418,0.00194200652092576
"117","ESP",1997,"spain",3.13485374318295,99671,4649383936,7792524288,NA,NA,0,1.9707084918934,20.6979999542236,3.68961399843444,37418,0.00266371799668609
